epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.125,1.09314,2.77288,1.08266,0.98288,0.05085,0.37175,0.28272,0.97723,3.02773,0.95247,0.000297589,0.000297589,0.000297589
2,387.245,1.01394,1.41459,1.04557,0.72421,0.38152,0.56554,0.42122,1.01813,2.22932,1.02041,0.000588698,0.000588698,0.000588698
3,599.452,1.017,1.24666,1.04766,0.39769,0.32696,0.29217,0.19797,1.20092,2.5507,1.17977,0.000867807,0.000867807,0.000867807
4,788.766,0.99444,1.16862,1.04422,0.65173,0.59419,0.62077,0.43857,1.04665,1.24776,1.05703,0.000855005,0.000855005,0.000855005
5,956.484,0.97745,1.06176,1.03574,0.69256,0.5496,0.62949,0.4649,0.96566,1.16435,1.00963,0.000837007,0.000837007,0.000837007
6,1203.75,0.94527,0.99994,1.02634,0.72449,0.56523,0.6573,0.47405,0.95592,1.06005,1.02269,0.000819009,0.000819009,0.000819009
7,1417.11,0.93376,0.94994,1.01915,0.68188,0.64707,0.69469,0.51577,0.94782,1.08288,1.0092,0.000801011,0.000801011,0.000801011
8,1589.31,0.91229,0.90482,1.01221,0.72177,0.62097,0.69213,0.52072,0.94251,0.93827,1.00952,0.000783013,0.000783013,0.000783013
9,1778.09,0.90579,0.86724,1.00567,0.67685,0.63852,0.71564,0.54745,0.91609,0.93115,1.00018,0.000765014,0.000765014,0.000765014
10,1962.58,0.89613,0.85195,1.00533,0.75693,0.67405,0.75897,0.58136,0.85881,0.86444,0.97622,0.000747016,0.000747016,0.000747016
11,2121.72,0.88326,0.81979,0.99684,0.7442,0.69484,0.75182,0.57516,0.88274,0.85924,0.98898,0.000729018,0.000729018,0.000729018
12,2303.96,0.87458,0.80951,0.99246,0.77744,0.69577,0.7789,0.6006,0.84703,0.82185,0.97831,0.00071102,0.00071102,0.00071102
13,2459.05,0.86753,0.79632,0.99056,0.79978,0.66995,0.76682,0.59472,0.83953,0.80011,0.96443,0.000693022,0.000693022,0.000693022
14,2647.58,0.86275,0.77203,0.98448,0.77072,0.69106,0.76489,0.5941,0.85145,0.77979,0.96688,0.000675023,0.000675023,0.000675023
15,2810.68,0.84929,0.75461,0.98287,0.76346,0.64512,0.74702,0.57855,0.87224,0.86848,0.98011,0.000657025,0.000657025,0.000657025
16,2997.6,0.84766,0.75234,0.98465,0.80165,0.67894,0.77688,0.60957,0.82972,0.79296,0.95743,0.000639027,0.000639027,0.000639027
17,3156.24,0.83178,0.73688,0.97505,0.7899,0.70681,0.79116,0.62085,0.81879,0.7462,0.951,0.000621029,0.000621029,0.000621029
18,3327.12,0.83015,0.7189,0.97563,0.83278,0.69377,0.8064,0.63521,0.80769,0.71294,0.94681,0.000603031,0.000603031,0.000603031
19,3502,0.82372,0.71574,0.97175,0.79093,0.70578,0.79403,0.62464,0.83591,0.74719,0.95402,0.000585032,0.000585032,0.000585032
20,3676.98,0.82806,0.709,0.97188,0.78954,0.71907,0.79661,0.62798,0.81809,0.73826,0.95527,0.000567034,0.000567034,0.000567034
21,3836.71,0.81087,0.69478,0.96661,0.78229,0.74886,0.81077,0.64469,0.80657,0.70807,0.94521,0.000549036,0.000549036,0.000549036
22,3992.79,0.81224,0.68426,0.96599,0.77572,0.73784,0.80394,0.63292,0.80556,0.72426,0.94283,0.000531038,0.000531038,0.000531038
23,4151.97,0.80363,0.68187,0.96139,0.82869,0.72328,0.81482,0.64312,0.81381,0.72431,0.94698,0.00051304,0.00051304,0.00051304
24,4314.59,0.79938,0.6702,0.95889,0.84228,0.71602,0.82121,0.65081,0.79102,0.68184,0.93627,0.000495041,0.000495041,0.000495041
25,4477.13,0.78593,0.66031,0.95565,0.81232,0.74596,0.81484,0.64705,0.78805,0.69456,0.93538,0.000477043,0.000477043,0.000477043
26,4644.96,0.78753,0.65476,0.95322,0.79048,0.75863,0.8146,0.65062,0.79578,0.69041,0.93574,0.000459045,0.000459045,0.000459045
27,4808.95,0.7855,0.64712,0.95337,0.81471,0.73742,0.82267,0.66364,0.77873,0.67509,0.92757,0.000441047,0.000441047,0.000441047
28,4971.36,0.78081,0.64542,0.95202,0.84656,0.73148,0.82502,0.65699,0.79301,0.66846,0.94034,0.000423049,0.000423049,0.000423049
29,5127.14,0.77388,0.63839,0.94728,0.81913,0.76262,0.83321,0.66959,0.77755,0.64392,0.92723,0.00040505,0.00040505,0.00040505
30,5275.57,0.76742,0.62193,0.94756,0.84285,0.72492,0.8259,0.66489,0.77897,0.66252,0.92997,0.000387052,0.000387052,0.000387052
31,5489.17,0.76718,0.62247,0.94596,0.81358,0.72677,0.82085,0.66672,0.76641,0.66401,0.92918,0.000369054,0.000369054,0.000369054
32,5663.89,0.76165,0.61625,0.94173,0.83315,0.75169,0.84018,0.68097,0.76287,0.6348,0.92432,0.000351056,0.000351056,0.000351056
33,5812.32,0.75997,0.61031,0.94191,0.8058,0.76847,0.83065,0.66953,0.76825,0.65667,0.9296,0.000333058,0.000333058,0.000333058
34,5974.47,0.74577,0.59826,0.93378,0.81738,0.77065,0.83089,0.66397,0.77274,0.66022,0.93338,0.000315059,0.000315059,0.000315059
35,6147.8,0.74555,0.59745,0.93559,0.82213,0.75985,0.82327,0.66278,0.77161,0.66314,0.92951,0.000297061,0.000297061,0.000297061
36,6330.93,0.74168,0.59253,0.93423,0.84315,0.76079,0.84184,0.67966,0.7558,0.62262,0.91947,0.000279063,0.000279063,0.000279063
37,6541.77,0.73606,0.57961,0.93447,0.84427,0.7455,0.84035,0.67828,0.75567,0.62713,0.92237,0.000261065,0.000261065,0.000261065
38,6709.42,0.74117,0.58351,0.93225,0.83208,0.75168,0.83793,0.68315,0.7512,0.62645,0.91706,0.000243067,0.000243067,0.000243067
39,6895.37,0.72527,0.57351,0.92635,0.8367,0.76459,0.83899,0.68036,0.75955,0.62221,0.92589,0.000225068,0.000225068,0.000225068
40,7084.84,0.72498,0.56697,0.93027,0.83506,0.76646,0.84441,0.68337,0.75195,0.61904,0.92274,0.00020707,0.00020707,0.00020707
41,7220.77,0.7159,0.55599,0.91641,0.82145,0.75504,0.83166,0.6668,0.76473,0.63632,0.92495,0.000189072,0.000189072,0.000189072
42,7335.72,0.70089,0.51796,0.91294,0.8079,0.77561,0.83478,0.67442,0.75699,0.63476,0.92497,0.000171074,0.000171074,0.000171074
43,7460.91,0.69261,0.50748,0.90868,0.82517,0.77007,0.83908,0.67963,0.75344,0.62455,0.92037,0.000153076,0.000153076,0.000153076
44,7575.39,0.68707,0.50063,0.90598,0.83802,0.76505,0.84232,0.67893,0.75488,0.62525,0.91849,0.000135077,0.000135077,0.000135077
