epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.484,1.07588,2.77111,1.07783,0.96662,0.06629,0.37316,0.2788,1.05367,2.97078,0.97643,0.000297589,0.000297589,0.000297589
2,389.673,1.01306,1.40934,1.0434,0.79105,0.26779,0.47192,0.32492,1.07142,2.31774,1.06805,0.000600115,0.000600115,0.000600115
3,559.561,0.99995,1.23555,1.04324,0.43221,0.39467,0.36777,0.2474,1.15259,2.40887,1.15974,0.000900739,0.000900739,0.000900739
4,723.741,1.0062,1.16733,1.04683,0.57025,0.47699,0.47867,0.33037,1.07354,1.63178,1.09833,0.00090256,0.00090256,0.00090256
5,930.919,0.97778,1.072,1.03869,0.66604,0.60908,0.65957,0.48673,0.96117,1.14231,1.02411,0.000897577,0.000897577,0.000897577
6,1082.05,0.95003,0.98746,1.02487,0.72727,0.60214,0.68327,0.50539,0.97979,1.11668,1.01788,0.000891204,0.000891204,0.000891204
7,1237.8,0.94197,0.94741,1.0221,0.68141,0.64217,0.70282,0.51525,0.93909,1.05252,1.00223,0.000883467,0.000883467,0.000883467
8,1392.4,0.92988,0.91749,1.01773,0.76172,0.64085,0.72994,0.55326,0.91905,1.02414,0.99931,0.000874395,0.000874395,0.000874395
9,1572.39,0.91464,0.8742,1.00945,0.70653,0.63198,0.70514,0.53323,0.92134,0.98073,1.00323,0.000864025,0.000864025,0.000864025
10,1741.6,0.90173,0.84913,1.00546,0.75323,0.68833,0.75582,0.58106,0.87974,0.85155,0.97859,0.000852398,0.000852398,0.000852398
11,1897.12,0.89486,0.83562,1.00434,0.68263,0.72314,0.74405,0.56959,0.88053,0.87967,0.9853,0.000839559,0.000839559,0.000839559
12,2049.34,0.8867,0.81145,0.99725,0.74568,0.65561,0.73243,0.56622,0.86898,0.88554,0.97586,0.000825559,0.000825559,0.000825559
13,2206.7,0.87709,0.80376,0.99525,0.74948,0.70186,0.77526,0.60075,0.85225,0.79361,0.96887,0.000810453,0.000810453,0.000810453
14,2384.69,0.87158,0.79029,0.99396,0.73031,0.67511,0.72551,0.55187,0.88288,0.84159,0.97522,0.000794301,0.000794301,0.000794301
15,2551.67,0.86307,0.77723,0.98967,0.71277,0.64244,0.7079,0.53867,0.8991,0.91537,0.99723,0.000777167,0.000777167,0.000777167
